English,Hebrew
pencil,עיפרון
perhaps,אולי
person,אדם
pick up,להרים
picture,תמונה
place,מקום
plan (v),לתכנן
play a game,לשחק משחק
please,בבקשה
poor,עני
possible,אפשרי
practice (v),להתאמן
problem,בעיה
project,פרויקט
push,לדחוף
question,שאלה
quick,מהיר
quiet,שקט
radio,רדיו
read,לקרוא
ready,מוכן
real,אמיתי
really,באמת
red,אדום
remember,לזכור
run,לרוץ
sad,עצוב
Saturday,שבת
say,לומר
school,בית ספר
sea,ים
second,שני / מקום שני
see,לראות
sentence,משפט
September,ספטמבר
seven,שבע
seventeen,שבע עשרה
seventy,שבעים
she,היא
short,קצר
should,צריך (מודאלי)
show,להראות
shut,לסגור
sick,חולה
side,צד
sister,אחות
sit,לשבת
six,שש
sixteen,שש עשרה
sixty,שישים
sky,שמיים
slow,איטי
small,קטן
smart,חכם
smile,חיוך / לחייך
snow,שלג
so,אז / כך
soap,סבון
soft,רך
somebody,מישהו
someone,מישהו
something,משהו
sometimes,לפעמים
son,בן
song,שיר
soon,בקרוב
sorry,סליחה
soup,מרק
south,דרום
Spain,ספרד
speak,לדבר
spelling,איות
spend,לבזבז / לבלות
stand,לעמוד
start,להתחיל
station,תחנה
stay,להישאר
step,צעד
stick,מקל / להדביק
still,עדיין
stop,לעצור
store,חנות
story,סיפור
street,רחוב
strong,חזק
student,סטודנט / תלמיד
study,ללמוד
subway,רכבת תחתית
sugar,סוכר
summer,קיץ
sun,שמש
Sunday,יום ראשון
supermarket,סופרמרקט
sure,בטוח
surprise,הפתעה
sweater,סוודר
swim,לשחות
table,שולחן
take,לקחת
talk,לדבר
tall,גבוה
tea,תה
teach,ללמד
teacher,מורה
team,קבוצה
tell,לספר
ten,עשר
tennis,טניס
terrible,נורא
test,מבחן
than,מאשר
thank,להודות
that,ש– / ההוא
the,ה-
theater,תיאטרון
their,שלהם
them,אותם
there,שם / יש
these,אלה
they,הם
thin,רזה
thing,דבר
think,לחשוב
third,שלישי
thirsty,צמא
this,זה
though,אף על פי
thousand,אלף
three,שלוש
through,דרך / באמצעות
throw,לזרוק
Thursday,יום חמישי
ticket,כרטיס
tidy,מסודר
tie,לקשור / עניבה
tiger,נמר
till,עד
time,זמן
tired,עייף
to,אל / ל-
today,היום
toe,בוהן
together,ביחד
toilet,שירותים
tomato,עגבנייה
tomorrow,מחר
too,גם / יותר מדי
tooth,שן
topic,נושא
total,סך הכל
touch,לגעת
town,עיירה
toy,צעצוע
traffic,תנועה
train,רכבת
tree,עץ
trip,טיול
trouble,צרה
true,נכון
Tuesday,יום שלישי
turn,לפנות
TV,טלוויזיה
twelve,שתים עשרה
twenty,עשרים
twice,פעמיים
two,שתיים
type,סוג
umbrella,מטרייה
uncle,דוד
under,מתחת
understand,להבין
uniform,מדים
university,אוניברסיטה
until,עד
up,למעלה
us,אנחנו / אותנו
use,להשתמש
usually,בדרך כלל
vacation,חופשה
very,מאוד
video,וידאו
village,כפר
visit,לבקר
wait,לחכות
wake,להעיר / להתעורר
walk,ללכת
wall,קיר
want,לרצות
warm,חמים
was/were,היה/היו
wash,לשטוף
watch,לצפות
water,מים
way,דרך
we,אנחנו
weak,חלש
wear,ללבוש
weather,מזג אוויר
wedding,חתונה
Wednesday,יום רביעי
week,שבוע
welcome,ברוך הבא
well,טוב / היטב
west,מערב
wet,רטוב
what,מה
when,מתי
where,איפה
which,איזה
while,בזמן
white,לבן
who,מי
whose,של מי
why,למה
wide,רחב
will,ירצה / יהיה
win,לנצח
wind,רוח
window,חלון
wine,יין
winter,חורף
wish,משאלה / לאחל
with,עם
without,בלי
woman,אישה
wonderful,נפלא
word,מילה
work,לעבוד
world,עולם
worry,לדאוג
worse,גרוע יותר
worst,הכי גרוע
write,לכתוב
wrong,שגוי
year,שנה
yellow,צהוב
yes,כן
yesterday,אתמול
you,אתה / את / אתם / אתן
young,צעיר
your,שלך / שלכם
yourself,עצמך / בעצמכם
